image_path,source_id,class,split,instance_count
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/86.png,86,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/111.png,111,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/146.png,146,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/260.png,260,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/312.png,312,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/354.png,354,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/356.png,356,Crack,train,3
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/468.jpg,468,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/469.jpg,469,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/470.jpg,470,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/471.jpg,471,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/474.jpg,474,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/476.jpg,476,Crack,train,2
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/478.jpg,478,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/480.jpg,480,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/481.jpg,481,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/482.jpg,482,Crack,train,4
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/483.jpg,483,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/485.jpg,485,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/486.jpg,486,Crack,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/1.png,1,corrosion,train,3
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/2.png,2,corrosion,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/6.png,6,corrosion,train,3
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/7.png,7,corrosion,train,11
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/8.png,8,corrosion,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/9.png,9,corrosion,train,9
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/12.png,12,corrosion,train,5
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/13.png,13,corrosion,train,3
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/23.png,23,corrosion,train,2
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/27.png,27,corrosion,train,3
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/29.png,29,corrosion,train,5
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/33.png,33,corrosion,train,28
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/34.png,34,corrosion,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/37.png,37,corrosion,train,5
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/38.png,38,corrosion,train,4
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/43.png,43,corrosion,train,3
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/49.png,49,corrosion,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/52.png,52,corrosion,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/53.png,53,corrosion,train,1
/root/autodl-tmp/borescope-new-seg-data/v1/images/train/55.png,55,corrosion,train,2
