review_group,selection_order,edit_id,source_id,class,family,changed_ratio,component_count,candidate_type,human_label,comment
weak_change,1,seed00_edit00,157,corrosion,C_elongated_ribbon,0.000322265625,11,WEAK_CHANGE_CANDIDATE,,
weak_change,2,seed00_edit00,368,corrosion,C_elongated_ribbon,0.000478515625,10,WEAK_CHANGE_CANDIDATE,,
weak_change,3,seed00_edit01,404,corrosion,C_elongated_ribbon,9.033203125e-05,1,WEAK_CHANGE_CANDIDATE,,
weak_change,4,seed00_edit02,443,Tip curl,C_elongated_ribbon,0.000263671875,2,WEAK_CHANGE_CANDIDATE,,
weak_change,5,seed00_edit00,463,Tip curl,C_elongated_ribbon,9.033203125e-05,10,WEAK_CHANGE_CANDIDATE,,
weak_change,6,seed00_edit01,531,Crack,C_elongated_ribbon,0.00011962890625,12,WEAK_CHANGE_CANDIDATE,,
weak_change,7,seed00_edit02,580,Burn,D_irregular_boundary,0.0004638671875,1,WEAK_CHANGE_CANDIDATE,,
weak_change,8,seed00_edit00,608,Burn,D_irregular_boundary,0.00038818359375,3,WEAK_CHANGE_CANDIDATE,,
weak_change,9,seed00_edit00,621,Burn,D_irregular_boundary,0.00021728515625,2,WEAK_CHANGE_CANDIDATE,,
weak_change,10,seed00_edit00,634,Material missing,C_elongated_ribbon,0.00025634765625,1,WEAK_CHANGE_CANDIDATE,,
weak_change,11,seed00_edit02,674,Material missing,C_elongated_ribbon,0.0002783203125,24,WEAK_CHANGE_CANDIDATE,,
weak_change,12,seed00_edit02,732,Material missing,C_elongated_ribbon,0.0002978515625,5,WEAK_CHANGE_CANDIDATE,,
weak_change,13,seed00_edit02,741,Material missing,C_elongated_ribbon,7.8125e-05,6,WEAK_CHANGE_CANDIDATE,,
weak_change,14,seed00_edit00,758,Material missing,C_elongated_ribbon,6.103515625e-05,10,WEAK_CHANGE_CANDIDATE,,
weak_change,15,seed00_edit00,760,Material missing,C_elongated_ribbon,0.00018798828125,38,WEAK_CHANGE_CANDIDATE,,
weak_change,16,seed00_edit01,782,Tears,C_elongated_ribbon,7.32421875e-05,9,WEAK_CHANGE_CANDIDATE,,
weak_change,17,seed00_edit00,795,Tears,C_elongated_ribbon,0.0001416015625,5,WEAK_CHANGE_CANDIDATE,,
weak_change,18,seed00_edit00,884,Dent,A_small_low_contrast,4.638671875e-05,6,WEAK_CHANGE_CANDIDATE,,
weak_change,19,seed00_edit01,901,Dent,C_elongated_ribbon,0.00017578125,20,WEAK_CHANGE_CANDIDATE,,
weak_change,20,seed00_edit00,916,Dent,C_elongated_ribbon,0.000283203125,1,WEAK_CHANGE_CANDIDATE,,
weak_change,21,seed00_edit00,927,Dent,C_elongated_ribbon,0.0001123046875,3,WEAK_CHANGE_CANDIDATE,,
weak_change,22,seed00_edit00,930,Dent,C_elongated_ribbon,0.00030029296875,6,WEAK_CHANGE_CANDIDATE,,
weak_change,23,seed00_edit01,936,Dent,C_elongated_ribbon,0.00041748046875,4,WEAK_CHANGE_CANDIDATE,,
weak_change,24,seed00_edit00,944,Dent,C_elongated_ribbon,0.0002880859375,6,WEAK_CHANGE_CANDIDATE,,
weak_change,25,seed01_edit01,252,Burn,C_elongated_ribbon,0.000458984375,1,WEAK_CHANGE_CANDIDATE,,
weak_change,26,seed01_edit00,461,Tip curl,C_elongated_ribbon,0.0003125,1,WEAK_CHANGE_CANDIDATE,,
weak_change,27,seed01_edit01,480,Crack,C_elongated_ribbon,6.591796875e-05,10,WEAK_CHANGE_CANDIDATE,,
weak_change,28,seed01_edit01,485,Crack,C_elongated_ribbon,0.000380859375,20,WEAK_CHANGE_CANDIDATE,,
weak_change,29,seed01_edit00,487,Crack,C_elongated_ribbon,0.00028076171875,13,WEAK_CHANGE_CANDIDATE,,
weak_change,30,seed01_edit00,514,Crack,C_elongated_ribbon,0.00011474609375,14,WEAK_CHANGE_CANDIDATE,,
weak_change,31,seed01_edit00,528,Crack,C_elongated_ribbon,0.00038330078125,8,WEAK_CHANGE_CANDIDATE,,
weak_change,32,seed01_edit00,544,Crack,C_elongated_ribbon,4.39453125e-05,7,WEAK_CHANGE_CANDIDATE,,
weak_change,33,seed01_edit02,556,Burn,C_elongated_ribbon,0.000390625,9,WEAK_CHANGE_CANDIDATE,,
weak_change,34,seed01_edit01,569,Burn,C_elongated_ribbon,0.00013916015625,8,WEAK_CHANGE_CANDIDATE,,
weak_change,35,seed01_edit00,570,Burn,C_elongated_ribbon,0.00033447265625,10,WEAK_CHANGE_CANDIDATE,,
weak_change,36,seed01_edit01,583,Burn,C_elongated_ribbon,0.00015380859375,6,WEAK_CHANGE_CANDIDATE,,
weak_change,37,seed01_edit01,613,Burn,C_elongated_ribbon,0.0001806640625,1,WEAK_CHANGE_CANDIDATE,,
weak_change,38,seed01_edit00,616,Burn,C_elongated_ribbon,0.00029541015625,8,WEAK_CHANGE_CANDIDATE,,
weak_change,39,seed01_edit01,628,Burn,A_small_low_contrast,0.000458984375,1,WEAK_CHANGE_CANDIDATE,,
weak_change,40,seed01_edit00,654,Material missing,C_elongated_ribbon,0.00022216796875,13,WEAK_CHANGE_CANDIDATE,,
weak_change,41,seed01_edit00,666,Material missing,C_elongated_ribbon,0.0001953125,21,WEAK_CHANGE_CANDIDATE,,
weak_change,42,seed01_edit00,761,Material missing,C_elongated_ribbon,0.00036865234375,12,WEAK_CHANGE_CANDIDATE,,
weak_change,43,seed01_edit02,791,Tears,C_elongated_ribbon,4.150390625e-05,5,WEAK_CHANGE_CANDIDATE,,
weak_change,44,seed01_edit01,795,Tears,C_elongated_ribbon,0.000361328125,13,WEAK_CHANGE_CANDIDATE,,
weak_change,45,seed01_edit02,798,Tears,D_irregular_boundary,0.000361328125,3,WEAK_CHANGE_CANDIDATE,,
weak_change,46,seed01_edit01,833,Tears,C_elongated_ribbon,0.00041748046875,1,WEAK_CHANGE_CANDIDATE,,
weak_change,47,seed01_edit00,860,Dent,C_elongated_ribbon,0.00043701171875,18,WEAK_CHANGE_CANDIDATE,,
weak_change,48,seed01_edit02,861,Dent,C_elongated_ribbon,0.0004296875,13,WEAK_CHANGE_CANDIDATE,,
weak_change,49,seed01_edit00,885,Dent,C_elongated_ribbon,6.8359375e-05,10,WEAK_CHANGE_CANDIDATE,,
weak_change,50,seed01_edit01,934,Dent,C_elongated_ribbon,0.000458984375,1,WEAK_CHANGE_CANDIDATE,,
