review_group,selection_order,edit_id,source_id,class,family,changed_ratio,component_count,candidate_type,human_label,comment
D_noise,1,seed42_edit00,466,Tip curl,D_irregular_boundary,0.05056640625,199,NOISE_PATTERN_CANDIDATE,,
D_noise,2,seed00_edit00,501,Crack,D_irregular_boundary,0.021611328125,97,NOISE_PATTERN_CANDIDATE,,
D_noise,3,seed00_edit00,136,Burn|corrosion,D_irregular_boundary,0.00890380859375,160,NOISE_PATTERN_CANDIDATE,,
D_noise,4,seed42_edit00,766,Material missing,D_irregular_boundary,0.04689208984375,239,NOISE_PATTERN_CANDIDATE,,
D_noise,5,seed00_edit02,977,Dent,D_irregular_boundary,0.0256689453125,93,NOISE_PATTERN_CANDIDATE,,
D_noise,6,seed00_edit01,918,Dent,D_irregular_boundary,0.019462890625,269,NOISE_PATTERN_CANDIDATE,,
D_noise,7,seed00_edit01,889,Dent,D_irregular_boundary,0.009716796875,55,NOISE_PATTERN_CANDIDATE,,
D_noise,8,seed00_edit01,618,Burn,D_irregular_boundary,0.007744140625,48,NOISE_PATTERN_CANDIDATE,,
D_noise,9,seed42_edit02,751,Material missing,D_irregular_boundary,0.02867431640625,142,NOISE_PATTERN_CANDIDATE,,
D_noise,10,seed00_edit00,478,Crack,D_irregular_boundary,0.04292236328125,300,NOISE_PATTERN_CANDIDATE,,
D_noise,11,seed42_edit01,558,Burn,D_irregular_boundary,0.00040771484375,23,NOISE_PATTERN_CANDIDATE,,
D_noise,12,seed42_edit00,999,Dent,D_irregular_boundary,0.04126220703125,149,NOISE_PATTERN_CANDIDATE,,
D_noise,13,seed42_edit00,17,Crack|corrosion,D_irregular_boundary,0.0292431640625,33,NOISE_PATTERN_CANDIDATE,,
D_noise,14,seed00_edit00,448,Tip curl,D_irregular_boundary,0.008349609375,88,NOISE_PATTERN_CANDIDATE,,
D_noise,15,seed42_edit00,237,Burn|Crack,D_irregular_boundary,0.0662744140625,38,NOISE_PATTERN_CANDIDATE,,
D_noise,16,seed01_edit00,650,Material missing,D_irregular_boundary,0.00872314453125,30,NOISE_PATTERN_CANDIDATE,,
D_noise,17,seed00_edit00,191,corrosion,D_irregular_boundary,0.02017578125,25,NOISE_PATTERN_CANDIDATE,,
D_noise,18,seed00_edit01,148,Burn,D_irregular_boundary,0.0108544921875,35,NOISE_PATTERN_CANDIDATE,,
D_noise,19,seed00_edit00,457,Tip curl,D_irregular_boundary,0.02557373046875,178,NOISE_PATTERN_CANDIDATE,,
D_noise,20,seed00_edit01,875,Dent,D_irregular_boundary,0.01029296875,65,NOISE_PATTERN_CANDIDATE,,
D_noise,21,seed00_edit01,894,Dent,D_irregular_boundary,0.0104150390625,131,NOISE_PATTERN_CANDIDATE,,
D_noise,22,seed01_edit01,903,Dent,D_irregular_boundary,0.0509912109375,115,NOISE_PATTERN_CANDIDATE,,
