review_group,selection_order,edit_id,source_id,class,family,changed_ratio,component_count,candidate_type,human_label,comment
C_noise,1,seed00_edit01,450,Tip curl,C_elongated_ribbon,0.00151123046875,23,NOISE_PATTERN_CANDIDATE,,
C_noise,2,seed00_edit01,155,corrosion,C_elongated_ribbon,0.0089208984375,21,NOISE_PATTERN_CANDIDATE,,
C_noise,3,seed01_edit01,284,Material missing|corrosion,C_elongated_ribbon,0.00561279296875,41,NOISE_PATTERN_CANDIDATE,,
C_noise,4,seed01_edit00,149,Material missing,C_elongated_ribbon,0.0092578125,158,NOISE_PATTERN_CANDIDATE,,
C_noise,5,seed01_edit00,9,corrosion,C_elongated_ribbon,0.00272705078125,79,NOISE_PATTERN_CANDIDATE,,
C_noise,6,seed00_edit00,583,Burn,C_elongated_ribbon,0.0024365234375,52,NOISE_PATTERN_CANDIDATE,,
C_noise,7,seed00_edit00,444,Tip curl,C_elongated_ribbon,0.00154296875,63,NOISE_PATTERN_CANDIDATE,,
C_noise,8,seed42_edit00,528,Crack,C_elongated_ribbon,0.0019677734375,42,NOISE_PATTERN_CANDIDATE,,
C_noise,9,seed00_edit01,410,Material missing,C_elongated_ribbon,0.00252197265625,21,NOISE_PATTERN_CANDIDATE,,
C_noise,10,seed42_edit02,745,Material missing,C_elongated_ribbon,0.00287353515625,42,NOISE_PATTERN_CANDIDATE,,
C_noise,11,seed42_edit01,76,Burn,C_elongated_ribbon,0.0017529296875,56,NOISE_PATTERN_CANDIDATE,,
C_noise,12,seed00_edit00,182,Dent,C_elongated_ribbon,0.00183837890625,21,NOISE_PATTERN_CANDIDATE,,
C_noise,13,seed00_edit01,179,Burn,C_elongated_ribbon,0.00886474609375,21,NOISE_PATTERN_CANDIDATE,,
C_noise,14,seed00_edit00,426,corrosion,C_elongated_ribbon,0.00937255859375,43,NOISE_PATTERN_CANDIDATE,,
C_noise,15,seed00_edit00,984,Dent,C_elongated_ribbon,0.00528564453125,24,NOISE_PATTERN_CANDIDATE,,
C_noise,16,seed01_edit00,100,Material missing,C_elongated_ribbon,0.004326171875,27,NOISE_PATTERN_CANDIDATE,,
