edit_id,class,family,changed_ratio,component_count,human_label,comment
seed42_271_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.004404296875,1,,
seed42_12_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0022998046875,1,,
seed42_536_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00314453125,1,,
seed42_476_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0051513671875,1,,
seed42_450_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00365478515625,1,,
seed42_311_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00334228515625,1,,
seed42_255_edit02,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0039697265625,1,,
seed42_974_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00412353515625,1,,
seed42_219_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00411865234375,1,,
seed42_762_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00427490234375,1,,
seed42_13_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00548583984375,1,,
seed42_129_edit02,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0028759765625,1,,
seed42_225_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00191162109375,1,,
seed42_439_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0020556640625,1,,
seed42_457_edit02,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00168212890625,1,,
seed42_913_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00265625,1,,
seed42_123_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00306396484375,1,,
seed42_394_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00352294921875,1,,
seed42_756_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00300537109375,1,,
seed42_44_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00318603515625,1,,
seed42_815_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00528564453125,1,,
seed42_544_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00247314453125,1,,
seed42_101_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00427001953125,1,,
seed42_334_edit02,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00310302734375,1,,
seed42_97_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00471923828125,1,,
seed42_639_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.002529296875,1,,
seed42_936_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.001923828125,1,,
seed42_326_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0043603515625,1,,
seed42_436_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00439697265625,1,,
seed42_637_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0023388671875,1,,
seed42_977_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0016943359375,1,,
seed42_964_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00464599609375,1,,
seed42_38_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00277587890625,1,,
seed42_148_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.004482421875,1,,
seed42_355_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0035400390625,1,,
seed42_927_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00420654296875,1,,
seed42_347_edit02,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00384033203125,1,,
seed42_58_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.003193359375,1,,
seed42_291_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00435546875,1,,
seed42_742_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0048681640625,1,,
seed42_119_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.004755859375,1,,
seed42_683_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0024462890625,1,,
seed42_455_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00381591796875,1,,
seed42_526_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.0030224609375,1,,
seed42_176_edit00,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.004677734375,1,,
seed42_844_edit01,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00572265625,1,,
seed42_374_edit02,CLASS_PROVENANCE_UNAVAILABLE,C_crack_like_structural_evolution,0.00454345703125,1,,
