review_group,selection_order,edit_id,source_id,class,class_provenance,family,changed_ratio,component_count,seed,edit_index,bbox_xyxy,preview_path,human_label,comment
D_semantic,1,seed42_991_edit00,991,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.00537353515625,1,42,0,"[343, 471, 502, 534]",images/seed42_991.jpg,,
D_semantic,2,seed42_235_edit00,235,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.01197265625,1,42,0,"[23, 461, 201, 561]",images/seed42_235.jpg,,
D_semantic,3,seed42_12_edit00,12,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0148779296875,1,42,0,"[258, 507, 460, 621]",images/seed42_12.jpg,,
D_semantic,4,seed42_458_edit01,458,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0081640625,1,42,1,"[131, 411, 328, 529]",images/seed42_458.jpg,,
D_semantic,5,seed42_415_edit02,415,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.00635009765625,1,42,2,"[42, 423, 226, 524]",images/seed42_415.jpg,,
D_semantic,6,seed42_38_edit00,38,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0099951171875,1,42,0,"[432, 166, 629, 254]",images/seed42_38.jpg,,
D_semantic,7,seed42_269_edit00,269,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0056884765625,1,42,0,"[395, 546, 490, 611]",images/seed42_269.jpg,,
D_semantic,8,seed42_227_edit01,227,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0117138671875,1,42,1,"[21, 510, 229, 617]",images/seed42_227.jpg,,
D_semantic,9,seed42_850_edit00,850,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.01515869140625,1,42,0,"[277, 21, 500, 149]",images/seed42_850.jpg,,
D_semantic,10,seed42_21_edit02,21,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0096923828125,1,42,2,"[32, 235, 269, 333]",images/seed42_21.jpg,,
D_semantic,11,seed42_929_edit00,929,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.009111328125,1,42,0,"[42, 344, 282, 467]",images/seed42_929.jpg,,
D_semantic,12,seed42_717_edit01,717,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0126318359375,1,42,1,"[164, 337, 322, 456]",images/seed42_717.jpg,,
D_semantic,13,seed42_137_edit00,137,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.01139892578125,1,42,0,"[407, 443, 580, 579]",images/seed42_137.jpg,,
D_semantic,14,seed42_132_edit01,132,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.01154052734375,1,42,1,"[311, 458, 584, 555]",images/seed42_132.jpg,,
D_semantic,15,seed42_213_edit00,213,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.00890380859375,1,42,0,"[308, 53, 444, 150]",images/seed42_213.jpg,,
D_semantic,16,seed42_362_edit00,362,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.01677734375,1,42,0,"[370, 279, 620, 400]",images/seed42_362.jpg,,
D_semantic,17,seed42_393_edit00,393,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0169384765625,1,42,0,"[342, 82, 608, 227]",images/seed42_393.jpg,,
D_semantic,18,seed42_812_edit00,812,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.00970458984375,1,42,0,"[345, 408, 473, 514]",images/seed42_812.jpg,,
D_semantic,19,seed42_99_edit02,99,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.00997314453125,1,42,2,"[102, 229, 311, 315]",images/seed42_99.jpg,,
D_semantic,20,seed42_879_edit00,879,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.01217041015625,1,42,0,"[37, 253, 263, 422]",images/seed42_879.jpg,,
D_semantic,21,seed42_344_edit00,344,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0050439453125,1,42,0,"[83, 159, 218, 215]",images/seed42_344.jpg,,
D_semantic,22,seed42_954_edit01,954,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.0133154296875,1,42,1,"[349, 203, 545, 288]",images/seed42_954.jpg,,
D_semantic,23,seed42_714_edit01,714,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.005732421875,1,42,1,"[259, 535, 358, 604]",images/seed42_714.jpg,,
D_semantic,24,seed42_368_edit01,368,CLASS_PROVENANCE_UNAVAILABLE,NOT_STORED_IN_R1_FORMAL_ARTIFACTS,D_boundary_evolution,0.00694091796875,1,42,1,"[395, 498, 590, 572]",images/seed42_368.jpg,,
