stem,gt_index,class_id,class_name,category,candidate_class,confidence,mask_iou,box_iou
10,1,6,corrosion,LOCALIZATION_FAILURE,corrosion,0.019802505150437355,0.3645688236039002,0.2548290491104126
10,2,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.07524312287569046,0.8137196924896511,0.7895957231521606
10,10,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.22716043889522552,0.519116186693148,0.7945400476455688
10,15,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.1637888103723526,0.7331786542923434,0.7198606729507446
10,16,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.016854487359523773,0.5411471321695761,0.6256426572799683
10,20,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.21941588819026947,0.7614314115308151,0.7386828660964966
10,21,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.1645958572626114,0.6103286384976526,0.6673632264137268
10,22,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.0030896449461579323,0.7304347826086957,0.7106127738952637
10,23,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.016023974865674973,0.8164556962025317,0.8077260851860046
10,25,6,corrosion,LOCALIZATION_FAILURE,corrosion,0.0022752394434064627,0.06536697247706422,0.0553668737411499
32,0,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.11165576428174973,0.8067245718724094,0.7056539058685303
32,1,6,corrosion,LOCALIZATION_FAILURE,corrosion,0.0013495583552867174,0.09771689497716896,0.29011252522468567
32,2,6,corrosion,LOCALIZATION_FAILURE,corrosion,0.001290363841690123,0.12996777658431793,0.08198674023151398
35,0,3,Material missing,WRONG_CLASS,corrosion,0.0997384712100029,0.6266163522012579,0.8018600344657898
41,1,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.0044969660229980946,0.5288611544461779,0.6683710217475891
42,0,0,Burn,LOCALIZATION_FAILURE,Burn,0.006568457931280136,0.2155564749689698,0.26747652888298035
42,1,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.23075024783611298,0.5661429295489103,0.7998358607292175
45,0,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.007704376708716154,0.6803999858662239,0.5435296893119812
47,0,6,corrosion,WRONG_CLASS,Burn,0.0018461241852492094,0.08924031007751938,0.8015781044960022
47,1,6,corrosion,WRONG_CLASS,Burn,0.06372807919979095,0.0005717008099094807,0.6903647184371948
47,2,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.024411028251051903,0.502283105022831,0.7257823348045349
47,3,6,corrosion,LOCALIZATION_FAILURE,corrosion,0.27421849966049194,0.2277992277992278,0.5603548288345337
47,4,6,corrosion,LOCALIZATION_FAILURE,corrosion,0.0024530617520213127,0.49455864570737607,0.6658663153648376
51,0,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.005259527359157801,0.5156961418643662,0.48769524693489075
60,0,6,corrosion,LOW_CONF_RECOVERABLE,corrosion,0.009699944406747818,0.6793400417006618,0.7029328942298889
60,1,3,Material missing,WRONG_CLASS,corrosion,0.05189042165875435,0.8388888888888889,0.647489070892334
60,2,3,Material missing,WRONG_CLASS,corrosion,0.846974790096283,0.899911426040744,0.9417374730110168
60,3,3,Material missing,WRONG_CLASS,corrosion,0.011788608506321907,0.6517412935323383,0.7510731816291809
61,0,0,Burn,LOW_CONF_RECOVERABLE,Burn,0.011182136833667755,0.6170383442964864,0.7560469508171082
62,0,0,Burn,LOW_CONF_RECOVERABLE,Burn,0.032736700028181076,0.5073139974779319,0.6251864433288574
62,1,0,Burn,LOCALIZATION_FAILURE,Burn,0.006362738087773323,0.2836979534227241,0.34768247604370117
62,2,3,Material missing,WRONG_CLASS,corrosion,0.0026333415880799294,0.7695670568326047,0.834667444229126
62,3,6,corrosion,WRONG_CLASS,Material missing,0.026426563039422035,0.4013141883669993,0.8420822024345398
