source_id,class,prompt_id,variant1_seed,variant2_seed,variant1_path,variant2_path
86,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_86_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_86_v2.png
111,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_111_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_111_v2.png
146,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_146_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_146_v2.png
260,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_260_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_260_v2.png
312,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_312_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_312_v2.png
354,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_354_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_354_v2.png
356,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_356_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_356_v2.png
468,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_468_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_468_v2.png
469,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_469_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_469_v2.png
470,Crack,crack_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_470_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/crack/outputs/crack_470_v2.png
1,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_1_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_1_v2.png
2,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_2_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_2_v2.png
6,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_6_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_6_v2.png
7,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_7_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_7_v2.png
8,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_8_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_8_v2.png
9,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_9_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_9_v2.png
12,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_12_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_12_v2.png
13,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_13_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_13_v2.png
23,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_23_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_23_v2.png
27,corrosion,corrosion_human_reviewed_v1,13001,13002,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_27_v1.png,results/exp13_diffusion_pilot/run_20260921_124440/corrosion/outputs/corrosion_27_v2.png
